patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
4,Bloody Mary,70,0,1779016399315,1779016399466,1779016399538,151,223,151
0,Margarita,75,0,1779016399054,1779016399546,1779016399624,492,570,492
2,Cider,25,0,1779016399580,1779016399631,1779016399661,51,81,51
3,Mojito,75,0,1779016399446,1779016399669,1779016399747,223,301,223
4,White Wine,25,0,1779016399694,1779016399755,1779016399785,61,91,61
2,Cider,25,0,1779016399764,1779016399792,1779016399819,28,55,28
3,Margarita,75,0,1779016399863,1779016399863,1779016399943,0,80,0
5,Vodka shot,20,0,1779016399893,1779016399951,1779016399974,58,81,58
4,White Wine,25,0,1779016399937,1779016399985,1779016400010,48,73,48
2,Draft Beer,50,0,1779016399924,1779016400017,1779016400072,93,148,93
3,Tequila shot,20,0,1779016400029,1779016400078,1779016400103,49,74,49
6,White Wine,25,0,1779016400082,1779016400111,1779016400139,29,57,29
5,Mojito,75,0,1779016399978,1779016400146,1779016400223,168,245,168
4,Red Wine,25,0,1779016400164,1779016400230,1779016400258,66,94,66
2,Beer,25,0,1779016400175,1779016400265,1779016400291,90,116,90
6,Draft Beer,50,0,1779016400291,1779016400298,1779016400353,7,62,7
4,Red Wine,25,0,1779016400410,1779016400412,1779016400449,2,39,2
6,Draft Beer,50,0,1779016400456,1779016400456,1779016400509,0,53,0
4,White Wine,25,0,1779016400602,1779016400602,1779016400628,0,26,0
4,Vodka shot,20,0,1779016400780,1779016400780,1779016400805,0,25,0
7,Cider,25,0,1779016400945,1779016400945,1779016400972,0,27,0
8,Red Wine,25,0,1779016401028,1779016401028,1779016401058,0,30,0
7,Pina Colada,100,0,1779016401076,1779016401076,1779016401179,0,103,0
8,Cosmopolitan,65,0,1779016401211,1779016401211,1779016401280,0,69,0
7,Margarita,75,0,1779016401304,1779016401304,1779016401380,0,76,0
7,Tequila shot,20,0,1779016401465,1779016401465,1779016401489,0,24,0
7,Mojito,75,0,1779016401494,1779016401497,1779016401577,3,83,3
7,Gin and Tonic,40,0,1779016401692,1779016401692,1779016401737,0,45,0
9,Martini,60,0,1779016402287,1779016402287,1779016402348,0,61,0
0,Vodka shot,20,0,1779016421867,1779016421867,1779016421893,0,26,0
0,Gin and Tonic,40,0,1779016421897,1779016421918,1779016421963,21,66,21
0,Margarita,75,0,1779016422078,1779016422078,1779016422158,0,80,0
0,Cider,25,0,1779016422243,1779016422244,1779016422274,1,31,1
1,Vodka shot,20,0,1779016423019,1779016423020,1779016423044,1,25,1
2,Martini,60,0,1779016423724,1779016423724,1779016423787,0,63,0
2,Beer,25,0,1779016423903,1779016423903,1779016423928,0,25,0
3,Red Wine,25,0,1779016423970,1779016423970,1779016424000,0,30,0
2,Bloody Mary,70,0,1779016424033,1779016424033,1779016424108,0,75,0
3,Margarita,75,0,1779016424156,1779016424157,1779016424237,1,81,1
2,Pina Colada,100,0,1779016424264,1779016424264,1779016424369,0,105,0
3,Martini,60,0,1779016424323,1779016424377,1779016424438,54,115,54
4,Mojito,75,0,1779016424398,1779016424444,1779016424524,46,126,46
2,Gin and Tonic,40,0,1779016424491,1779016424531,1779016424577,40,86,40
3,Red Wine,25,0,1779016424549,1779016424584,1779016424610,35,61,35
4,Cosmopolitan,65,0,1779016424639,1779016424639,1779016424709,0,70,0
2,Martini,60,0,1779016424688,1779016424717,1779016424780,29,92,29
5,Tequila shot,20,0,1779016424759,1779016424788,1779016424813,29,54,29
4,Vodka shot,20,0,1779016424764,1779016424820,1779016424842,56,78,56
3,Martini,60,0,1779016424764,1779016424849,1779016424911,85,147,85
2,Martini,60,0,1779016424894,1779016424918,1779016424979,24,85,24
4,Cosmopolitan,65,0,1779016424847,1779016424987,1779016425055,140,208,140
3,Red Wine,25,0,1779016425026,1779016425062,1779016425092,36,66,36
6,Draft Beer,50,0,1779016425003,1779016425098,1779016425152,95,149,95
4,Cider,25,0,1779016425106,1779016425160,1779016425188,54,82,54
2,Margarita,75,0,1779016425092,1779016425195,1779016425275,103,183,103
6,Draft Beer,50,0,1779016425256,1779016425283,1779016425336,27,80,27
4,Beer,25,0,1779016425289,1779016425344,1779016425372,55,83,55
6,Gin and Tonic,40,0,1779016425442,1779016425443,1779016425488,1,46,1
7,Beer,25,0,1779016425469,1779016425495,1779016425525,26,56,26
6,B52,200,0,1779016425601,1779016425601,1779016425806,0,205,0
