patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
5,Cider,25,0,1779016342862,1779016343107,1779016343137,245,275,245
7,Red Wine,25,0,1779016343050,1779016343145,1779016343175,95,125,95
8,Draft Beer,50,0,1779016341836,1779016343182,1779016343232,1346,1396,1346
4,Gin and Tonic,40,0,1779016343201,1779016343240,1779016343281,39,80,39
9,Margarita,75,0,1779016342046,1779016343290,1779016343370,1244,1324,1244
7,Draft Beer,50,0,1779016343326,1779016343378,1779016343431,52,105,52
8,White Wine,25,0,1779016343336,1779016343439,1779016343467,103,131,103
7,Bloody Mary,70,0,1779016343537,1779016343537,1779016343611,0,74,0
8,B52,200,0,1779016343622,1779016343622,1779016343822,0,200,0
7,Mojito,75,0,1779016343767,1779016343830,1779016343910,63,143,63
8,Bloody Mary,70,0,1779016343835,1779016343938,1779016344013,103,178,103
7,Draft Beer,50,0,1779016344025,1779016344025,1779016344076,0,51,0
8,Martini,60,0,1779016344165,1779016344166,1779016344231,1,66,1
0,B52,200,0,1779016359765,1779016359767,1779016359972,2,207,2
0,White Wine,25,0,1779016359985,1779016360002,1779016360032,17,47,17
